Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Fitness
797.26,372.98,801.412,-1021.53,895.424,938.613,606.862,1007.77,-296.499,713.401,554.341,451.64,273.234,-394.494,76.3475,-461.67,7.08478e+06
-1006.2,-972.913,-728.502,28.1799,-567.997,-267.285,-911.14,842.132,788.381,813.623,-343.673,436.074,-149.62,-406.134,-879.799,-160.062,7.00287e+06
-228.721,-695.514,-306.776,-828.17,760.018,343.231,-629.314,856.252,163.186,-90.32,291.536,-503.756,104.61,-753.862,-613.343,28.7836,4.47066e+06
-824.334,720.596,-213.926,-546.657,174.965,505.521,223.209,161.815,-675.636,381.669,976.49,222.399,-351.48,619.913,688.874,-173.507,4.52338e+06
-172.834,894.192,455.033,-956.618,-151.663,-831.704,980.065,154.035,294.253,-277.58,343.48,147.136,562.552,819.409,-195.98,809.667,5.6359e+06
-890.711,379.858,-550.769,79.6027,559.176,505.005,453.489,-35.038,-626.641,-603,72.639,-127.356,972.779,-407.913,-862.27,464.646,4.87196e+06
973.669,577.719,-518.051,-949.123,-190.624,773.634,-139.277,-442.192,891.498,557.6,227.3,-1018.52,883.722,356.019,-564.292,-973.306,7.66916e+06
-1008.7,875.32,395.577,420.142,196.741,76.2586,-90.9751,205.196,315.56,-260.015,344.543,-88.3002,-849.783,-546.46,-857.351,-364.508,4.39413e+06
227.999,-271.102,463.313,364.666,-727.673,-679.849,-892.036,-482.647,-310.565,-843.268,209.365,439.042,-702.009,-323.302,465.408,334.475,4.46362e+06
725.934,111.828,-971.251,-906.607,-860.035,35.0971,522.457,-957.904,-88.7038,665.186,345.305,94.0392,181.886,811.991,153.759,-160.114,5.5564e+06
415.645,-292.439,968.523,762.476,-703.174,377.089,-954.223,788.905,706.26,20.7422,-762.494,248.777,-533.838,268.024,396.791,-806.39,6.25447e+06
-47.2148,175.295,-504.575,-612.331,282.329,534.003,-288.541,427.822,178.945,634.047,-606.06,607.021,-478.397,-413.154,979.297,-929.764,4.68666e+06
-635.385,42.7516,-253.964,-528.18,377.964,346.597,949.742,775.374,1018.75,-280.805,-931.36,-357.792,-6.3186,-671.343,-849.764,-96.8113,5.80974e+06
886.099,538.962,-386.077,795.885,404.018,-75.0714,-482.059,154.693,-624.843,494.042,894.828,326.181,460.788,-687.128,508.363,-5.4132,4.76795e+06
-845.04,-232.556,469.91,160.175,-396.528,1000.96,151.617,911.256,122.418,132.437,-919.203,-810.847,234.369,474.386,-524.222,950.222,6.01998e+06
494.056,-536.553,295.773,-328.179,465.881,173.246,525.627,-509.002,885.341,1009.67,-687.037,26.4301,744.399,-311.915,-527.079,473.222,4.93888e+06
977.956,7.67552,-220.302,-221.322,603.149,422.013,-370.857,971.958,801.957,411.501,-121.288,-599.458,337.848,519.967,213.151,-8.97684,4.29476e+06
-782.251,583.128,-17.2208,725.227,-747.891,952.503,-18.0203,-875.826,-450.327,824.484,-339.931,962.72,-114.439,-272.289,593.448,-67.3395,6.08128e+06
-869.24,673.466,594.867,30.7055,-1004.17,-744.741,434.157,186.076,409.691,-284.806,264.963,-133.475,-176.536,-174.013,-958.35,-899.082,5.47541e+06
715.406,400.436,-552.117,-782.077,-940.625,-41.5597,180.157,815.014,860.717,-273.932,882.359,93.7561,151.74,-658.154,-786.716,-523.518,6.12441e+06
-769.456,-566.699,81.5378,754.186,604.135,-957.734,406.646,-928.17,1019.96,581.866,-550.13,-20.2542,499.919,695.924,-555.3,-749.673,7.08442e+06
882.845,349.72,770.631,-548.079,-760.429,-306.534,-506.471,-875,295.893,-509.518,-101.94,-433.56,862.602,-101.972,777.946,-933.854,6.26779e+06
73.3223,-96.8079,-356.111,-409.212,-477.618,-615.364,-15.0888,-317.158,-346.93,-888.408,-995.604,843.073,-176.623,362.587,-97.4869,-613.094,4.17647e+06
879.565,-772.788,-38.1435,-836.141,-554.443,379.73,54.0929,102.512,680.425,-899.526,829.085,309.714,288.578,-962.134,839.829,-966.693,7.24086e+06
-644.203,810.826,-764.462,-208.92,532.581,128.916,472.019,-629.051,-180.117,-3.30116,-525.059,1019.74,350.445,785.98,-219.204,870.072,5.51302e+06
-508.668,-700.654,587.489,968.738,-896.951,-819.195,-372.945,53.1475,418.348,932.968,-782.705,-294.267,-478.65,629.593,-689.032,771.767,7.09147e+06
560.559,786.061,960.856,150.413,-85.1713,-30.6575,810.01,-596.617,-255.282,289.04,442.435,-908.55,979.259,-345.186,-601.982,-394.91,5.66476e+06
992.814,345.246,-521.671,-612.155,-870.615,-280.138,663.046,-459.929,-269.331,535.422,401.299,-179.336,-687.474,806.447,153.726,-498.14,5.18671e+06
-539.054,-105.706,-198.355,-882.933,907.556,587.682,-7.06943,-354.503,-652.336,-683.439,-531.476,-572.358,429.467,552.21,-279.589,-697.562,4.97247e+06
296.416,-342.362,885.246,591.178,998.929,793.32,-1013.11,-900.433,815.498,-780.427,195.755,-297.326,-954.836,-854.27,544.425,701.239,8.63327e+06
-280.117,-518.61,-13.1264,-712.124,239.494,490.512,417.721,884.899,208.309,194.964,485.346,462.405,-452.256,608.776,828.293,572.229,4.22982e+06
715.536,714.182,-516.879,669.801,448.473,-361.748,357.75,354.694,619.225,-1023.88,301.486,354.077,158.542,568.07,-730.053,-406.919,5.0182e+06
524.017,-321.698,212.274,248.612,-412.439,-80.0576,378.469,560.454,301.502,-234.006,-959.335,821.264,-1004.8,-814.305,580.146,-899.293,5.67747e+06
790.111,815.331,-909.35,923.558,29.6191,-1022.58,47.8509,-244.541,994.017,-490.315,-109.472,-830.06,771.376,-947.13,555.502,-453.983,8.01397e+06
-739.055,412.551,254.971,-951.128,-229.03,114.031,-294.011,269.76,-76.6306,299.682,224.331,-612.453,-332.102,-402.938,983.879,-524.485,3.94771e+06
-552.334,-906.3,918.411,-49.1455,1001.54,511.389,-953.864,605.277,837.086,482.796,-479.374,-726.148,-626.569,1009.43,0.0438378,1016.92,8.64989e+06
324.821,881.517,293.722,-519.01,-378.835,825.301,864.448,282.297,-823.509,-489.654,-659.6,245.87,-707.81,-121.144,107.398,-557.321,5.14128e+06
-558.783,-477.295,813.174,132.357,-766.339,-604.137,894.658,-259.879,-306.407,-61.4529,-216.759,-331.2,-273.449,750.507,398.803,-987.61,5.06601e+06
938.282,662.675,862.33,-531.055,385.972,976.408,-763.726,505.217,-527.296,20.5214,-506.935,305.217,384.183,-936.723,100.838,293.271,6.03599e+06
144.227,-463.508,-571.752,-709.463,532.22,599.487,103.092,66.2029,-284.454,-868.659,991.294,757.449,-603.138,-153.902,312.349,107.819,4.61225e+06
-509.542,-360.341,590.161,-691.301,-856.922,27.0023,-570.717,-548.216,53.0773,-3.00329,876.459,7.06413,-621.826,-968.544,-851.603,-164.132,5.42508e+06
35.0646,300.013,-58.9685,323.992,-1022.53,-993.729,619.999,232.862,523.751,-249.03,206.712,-63.1401,461.448,-823.993,-783.377,641.482,4.97162e+06
-808.197,951.318,435.486,49.1407,790.77,744.1,564.074,608.856,576.493,142.758,464.591,-87.7576,618.938,498.752,750.165,875.499,6.15564e+06
-996.07,-40.0969,854.327,-675.973,-943.673,-143.062,-140.793,63.8876,-60.1142,405.491,85.6523,86.7133,342.453,45.855,-896.756,637.458,4.62841e+06
-437.343,822.58,291.295,540.403,-383.977,-704.311,310.205,-333.658,-142.878,715.441,-978.265,602.738,868.95,12.8004,-728.721,-212.512,5.28003e+06
-718.899,-772.619,950.094,-402.593,-477.839,555.196,57.9993,763.885,1023.7,-859.577,-730.975,907.475,-591.254,-931.984,738.022,-873.321,8.97231e+06
945.851,533.052,-195.743,-890.637,433.386,143.02,-713.962,260.795,322.152,912.218,-86.3536,25.5762,836.686,-519.368,-484.666,880.867,5.72117e+06
-259.177,556.303,-328.001,-577.274,-391.538,14.2658,-569.792,471.045,-870.561,109.19,156.993,-377.506,-932.93,25.211,-893.286,712.833,4.63171e+06
920.31,-481.366,-816.386,-436.785,-621.268,-1005.76,801.385,591.903,-403.705,296.606,963.4,584.817,509.897,220.414,-266.361,173.342,6.25693e+06
-701.888,-946.659,-219.643,-708.342,-711.184,-41.3078,-661.636,-614.648,153.885,-87.9353,446.708,-75.6735,-394.636,278.257,-35.5783,978.09,4.6898e+06
-516.572,358.519,998.135,872.434,-506.743,449.473,-232.369,531.436,-766.551,968.9,-717.827,408.65,-316.387,-641.153,-223.53,965.345,6.64993e+06
-788.956,-956.224,606.448,655.351,-29.0921,943.989,261.564,186.363,681.868,-1021.71,-621.159,-435.934,-109.083,-770.466,736.716,441.594,6.75734e+06
555.001,-837.385,2.99465,-778.802,-462.765,861.281,558.342,557.172,518.321,-195.29,-845.915,882.436,398.119,569.839,597.227,662.202,6.27353e+06
-240.964,890.432,-62.2835,-581.715,29.9518,294.906,-369.829,-805.261,-88.3405,-24.9871,555.839,-875.678,349.041,-720.917,370.923,-323.618,4.03447e+06
706.736,-89.3517,-545.365,537.651,980.284,273.701,-748.691,-605.443,-246.453,-7.00857,-982.751,-37.4699,-51.4358,-131.312,-391.869,935.816,5.13432e+06
339.979,589.063,31.9391,-274.131,-263.756,-464.111,96.1807,725.273,-943.714,514.658,581.148,-215.605,499.291,-226.74,-378.087,-541.732,3.63592e+06
622.165,-964.442,-534.328,-406.814,220.428,-151.926,333.95,-731.01,-320.607,60.0273,251.014,-471.858,-489.124,-929.006,660.911,-966.766,5.35169e+06
-285.42,-655.552,3.62015,984.369,-161.822,175.366,186.718,-907.266,452.89,566.11,478.746,-723.471,-94.4533,-210.617,-233.964,-884.136,4.56325e+06
594.544,-1013.91,-689.636,403.102,-558.221,710.692,208.129,518.678,-561.543,514.828,688.237,86.0515,-967.883,-348.216,186.66,897.215,6.1081e+06
-578.552,-934.47,196.579,83.9865,-191.501,928.897,-851.378,923.857,-952.342,79.7581,912.663,-78.328,-798.213,959.873,-99.1451,646.371,7.47025e+06
371.872,-192.944,987.972,321.825,527.3,-979.622,223.585,911.749,-528.357,-511.39,717.2,912.015,-263.588,359.947,851.245,-829.187,6.87234e+06
-30.8388,575.055,304.122,-764.903,737.334,241.814,922.952,208.492,644.27,998.161,588.701,-17.6536,181.192,150.009,-922.713,-234.923,5.22698e+06
-159.178,-758.515,-939.405,-1014.28,-293.263,-527.294,113.429,868.218,-944.031,-132.575,343.338,-851.543,229.314,-268.085,543.274,-516.884,6.08137e+06
-771.082,-804.777,-10.7219,127.11,-575.932,104.037,446.162,-512.404,-1003.18,678.024,703.853,-250.51,897.523,669.279,-374.019,201.098,5.52082e+06
-196.359,-784.656,-179.238,703.812,47.3269,222.007,-286.978,-663.955,143.44,106.041,934.154,-1004.83,815.421,872.135,-531.202,-930.453,6.24418e+06
714.465,-677.937,-211.181,-95.85,-358.402,-150.472,-386.567,51.6573,-942.045,186.305,-710.887,975.673,298.207,-1007.78,-943.986,-471.591,5.92472e+06
540.542,-835.043,331.914,105.627,-129.982,-660.814,-956.991,25.3334,29.9199,-993.485,291.995,-283.912,-38.2825,-83.7909,404.665,12.7902,3.80715e+06
-266.133,-621.574,-962.803,-560.781,249.467,-495.328,365.967,896.186,-498.55,560.81,319.812,-205.649,422.559,-451.229,-410.872,-203.792,4.24362e+06
-156.26,107.085,-238.835,728.031,272.259,847.686,-273.869,992.601,432.762,549.362,159.909,776.586,-823.455,573.077,311.484,698.351,5.18503e+06
776.617,-71.929,947.012,643.021,755.891,-997.627,916.509,-502.48,266.725,-88.885,228.949,165.926,555.6,105.571,122.752,187.953,5.10708e+06
-576.689,375.786,989.306,872.69,-542.794,978.209,676.143,955.703,972.192,-70.1818,259.431,-478.639,-596.706,-105.663,-510.727,722.144,7.23237e+06
-904.266,-431.814,-660.169,-822.112,20.0675,726.629,-131.66,-480.66,782.657,862.467,11.8756,323.84,-898.051,-324.802,-226.038,11.2087,5.31737e+06
714.032,633.992,-1003.98,-705.8,-251.574,24.6117,219.114,-728.273,402.004,800.316,-565.826,81.6855,1003.04,295.176,-833.016,559.831,6.28978e+06
16.1253,-794.594,31.0332,522.731,-784.093,-294.388,-855.252,-713.734,-916.486,-560.859,-93.7322,596.83,381.544,179.279,996.544,-74.3533,5.54422e+06
850.217,-334.561,-150.566,-210.395,198.286,884.852,548.409,683.921,598.232,925.492,-790.093,643.886,352.815,-956.953,-207.16,-371.813,5.96732e+06
-812.66,-389.422,-793.823,-1016.09,793.804,-702.786,-24.9067,-910.525,638.777,524.439,654.862,439.982,717.63,-415.078,-465.643,-937.675,7.51738e+06
965.591,-397.265,-558.236,-884.217,-143.722,632.029,-369.474,574.198,560.924,893.987,-498.047,174.174,879.498,-543.036,-747.864,-244.839,6.14999e+06
840.519,511.051,-947.246,559.641,-98.6494,340.624,431.07,108.512,402.797,277.123,371.375,-811.21,527.232,-18.5221,-637.375,-385.949,4.37019e+06
246.853,950.083,-638.81,809.559,300.596,-5.16126,-265.84,-708.725,-776.916,-755.846,-556.784,722.194,-522.002,-293.919,884.64,-40.3548,5.84009e+06
188.597,673.248,-731.431,69.065,-821.646,87.6189,193.287,94.391,-277.945,713.602,-389.87,540.524,-105.509,625.503,597.069,657.203,3.97928e+06
390.903,528.306,572.924,514.757,-221.02,-619.64,962.828,-499.077,983.808,-814.727,669.644,-590.811,677.782,-882.31,751.008,-167.192,6.89313e+06
870.041,291.388,33.5117,137.709,74.6611,-743.895,351.372,-657.987,692.583,-895.167,930.613,-718.933,-705.591,-880.458,-717.178,151.539,6.45179e+06
-293.061,888.504,-273.762,872.738,-904.054,-573.563,701.805,-688.798,-491.003,-263.747,172.438,-220.547,-474.781,-26.7383,65.2474,947.016,5.3416e+06
360.355,-630.429,535.204,985.378,-715.335,-691.708,-789.133,-428.521,401.355,-342.473,-828.505,266.039,563.483,-194.475,341.641,182.336,5.12234e+06
294.183,-159.985,-46.9003,645.017,178.426,-830.898,-962.86,23.0433,91.4633,647.512,471.935,-562.416,601.287,264.429,-546.261,32.5087,3.87799e+06
-532.423,454.088,-405.779,-6.66743,815.506,998.116,937.776,553.915,-745.056,-65.6443,959.049,-301.036,-697.351,-632.192,101.065,-979.555,6.92756e+06
553.495,-220.019,-566.562,-426.81,620.839,-947.853,555.665,537.184,-857.004,677.963,-671.658,-744.587,-683.21,-1018.35,68.5193,-268.337,6.51943e+06
-730.617,755.156,12.701,-309.846,67.0117,633.266,-673.926,748.906,174.991,236.609,181.334,-570.738,-645.655,-46.3824,-294.21,-530.767,3.85345e+06
166.44,729.466,116.527,832.56,443.996,820.096,-610.896,178.865,-297.62,499.108,-102.646,-179.853,-731.179,-297.872,343.661,17.9662,3.66393e+06
39.1822,303.444,-459.085,-571.912,957.97,-741.721,-858.116,417.076,301.313,-264.247,-866.742,-451.523,-896.564,1001.72,400.194,-139.483,6.11239e+06
859.607,134.033,432.691,13.8644,668.627,988.05,-179.962,-722.335,-201.022,609.714,-1023.62,931.01,332.83,-387.793,-20.8458,-483.179,5.74367e+06
-131.213,283.073,356.51,-362.96,-976.965,-251.506,-255.226,-180.174,953.806,962.759,-719.433,846.71,979.885,-498.386,493.617,-664.668,6.43683e+06
-57.4144,219.555,-656.203,96.633,489.126,342.872,267.769,-777.355,934.686,-735.402,229.863,-758.72,81.3124,752.504,266.825,836.786,4.91164e+06
324.699,-91.3414,-67.8661,-590.566,929.507,-387.224,-204.911,-962.991,-229.363,-784.987,-631.96,592.974,-56.9548,691.69,-362.805,-239.214,4.54087e+06
680.212,-885.491,656.225,-603.361,317.297,67.3167,592.457,545.788,154.427,165.252,479.971,226.434,120.815,-4.71991,936.98,-570.901,4.34701e+06
-128.831,-166.323,177.268,376.387,-567.765,126.684,860.956,-544.057,-797.073,-452.132,108.013,-97.3179,-122.09,315.799,852.962,-643.353,3.71009e+06
-310.121,-235.182,-709.898,799.754,885.644,1022.38,-538.198,-877.052,-720.131,657.133,879.981,-295.121,947.192,608.157,-300.047,718.752,7.86917e+06
288.78,-109.602,-98.4564,946.421,-423.889,347.535,623.022,-234.735,-73.1341,291.372,179.776,477.647,728.364,85.4903,940.891,-448.234,3.71945e+06
-887.282,-236.844,950.462,540.536,-620.765,982.437,414.551,612.835,-913.676,456.002,-33.5333,604.009,442.486,-662.694,857.539,159.143,6.74142e+06
-234.033,-557.657,580.688,963.999,482.346,225.001,922.289,433.299,-89.144,-365.253,-637.531,765.298,456.477,979.106,-869.983,-379.445,6.1554e+06
-191.565,947.287,185.931,368.812,-469.274,-496.664,-322.004,-851.974,900.128,-194.23,-613.373,-319.869,-623.024,-500.041,527.557,-536.531,4.9321e+06
407.231,191.213,-726.87,540.075,722.683,933.862,940.031,422.647,-427.326,-946.357,-224.808,477.443,902.428,-791.469,86.5115,-51.6634,6.28691e+06
-930.348,308.587,763.043,-78.1259,47.6482,-659.886,-775.949,233.16,443.208,-435.193,-1.12537,938.106,-955.753,-541.054,-812.947,659.44,6.21122e+06
1008.11,-696.875,515.893,-435.448,-350.731,880.329,435.247,639.129,-92.6486,-353.766,-740.748,256.775,368.302,881.454,-767.685,485.5,5.93982e+06
95.314,-87.3879,517.977,219.7,-813.559,-165.568,1015.13,547.953,537.765,864.678,469.781,712.673,-202.581,-204.504,936.001,527.347,5.35602e+06
-58.746,-21.3061,-990.022,-553.506,-58.7731,-422.3,986.759,-787.41,11.3828,-1003.7,-465.882,-564.366,215.223,793.024,136.076,295.122,5.38999e+06
-450.717,-391.441,-2.03728,140.41,94.8816,-491.425,-725.047,-269.573,581.877,196.88,-651.524,-546.37,827.786,-212.607,724.379,977.861,4.53685e+06
-291.088,-997.545,466.511,-29.8227,793.44,-677.419,-525.829,-58.0777,-745.931,-286.036,-992.126,618.046,-817.758,196.317,-486.95,-962.529,6.54218e+06
-799.344,407.993,800.896,-912.02,-447.618,-208.012,980.342,-117.416,665.315,-448.266,-65.1884,667.365,550.281,-535.417,-506.435,99.2727,5.44631e+06
897.055,-778.388,557.183,486.606,718.389,797.082,785.255,821.076,984.484,-343.184,878.615,916.604,303.477,337.082,-289.672,502.382,7.64136e+06
